# Rime user dictionary
#@/db_name	wubi_moye
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1360
#@/user_id	emacs@mac
a 	工	c=3 d=1.60705 t=1316
aany 	戒心	c=1 d=1 t=1085
abdw 	节奏	c=1 d=1 t=927
adk 	若	c=1 d=0.631284 t=1360
adpu 	其实	c=1 d=1 t=1034
aent 	散发	c=1 d=1 t=1207
ahnh 	卧	c=1 d=0.231078 t=1360
ahtb 	邪	c=1 d=1 t=560
aisg 	东西	c=1 d=0.283654 t=1360
ait 	落	c=1 d=1 t=428
ajd 	莫	c=1 d=1 t=559
alp 	莲	c=1 d=1 t=536
alw 	苏	c=1 d=1 t=563
anlw 	世界	c=2 d=0.233425 t=1360
aqtf 	警告	c=1 d=0.219808 t=1360
atgn 	翘	c=2 d=1.02182 t=1289
awg 	葵	c=1 d=0.125556 t=1360
awx 	花	c=2 d=0.404222 t=1360
b 	了	c=31 d=5.73541 t=1360
bb 	子	c=2 d=1.23693 t=1152
bc 	取	c=1 d=1 t=427
bct 	聚	c=1 d=1 t=707
bcv 	娶	c=1 d=0.427415 t=1360
bdud 	随着	c=1 d=0.701173 t=1360
bdwg 	随便	c=2 d=1.89137 t=685
bm 	出	c=3 d=0.595554 t=1360
bmgm 	出现	c=2 d=1.47471 t=1360
bn 	也	c=8 d=1.48291 t=1360
bpf 	院	c=1 d=1 t=1295
bqt 	聊	c=1 d=1 t=484
bwt 	除	c=1 d=1 t=1093
by 	防	c=1 d=1 t=1334
c 	以	c=3 d=0.561301 t=1360
cbn 	驰	c=1 d=1 t=1214
cc 	双	c=1 d=1 t=894
ce 	能	c=4 d=0.522046 t=1360
ceid 	能源	c=3 d=2.66913 t=714
cf 	对	c=2 d=0.219186 t=1360
cfn 	怼	c=1 d=1 t=1277
ck 	台	c=1 d=0.744532 t=1360
cn 	马	c=2 d=1.10807 t=1171
cqqi 	欢乐	c=1 d=1 t=601
ctwg 	骄傲	c=1 d=0.179964 t=1360
cwnc 	难怪	c=1 d=1 t=1228
d 	在	c=16 d=2.90647 t=1360
dd 	大	c=6 d=0.979277 t=1360
ddhv 	大眼	c=1 d=0.839457 t=1360
dfxp 	压缩	c=3 d=1.19522 t=1192
dg 	三	c=1 d=1 t=545
dglt 	威力	c=1 d=0.255381 t=1360
dgpw 	研究	c=1 d=1 t=1294
djoy 	厘米	c=1 d=1 t=1103
dmj 	而	c=2 d=0.588605 t=1360
dmue 	面前	c=1 d=1 t=544
dn 	成	c=3 d=0.370542 t=1360
dnv 	万	c=2 d=0.185907 t=1360
dp 	达	c=1 d=0.217621 t=1360
dqpg 	确定	c=1 d=1 t=764
dt 	帮	c=2 d=0.214381 t=1360
dx 	龙	c=3 d=1.59396 t=1360
dxvv 	龙女	c=1 d=0.271173 t=1360
dy 	太	c=2 d=0.440466 t=1360
e 	有	c=8 d=1.313 t=1360
ebtl 	服务	c=1 d=1 t=1360
ecec 	盈盈	c=2 d=0.872199 t=1360
efca 	脖颈	c=1 d=1 t=1206
en 	甩	c=1 d=1 t=1111
et 	用	c=5 d=0.997655 t=1360
etg 	胜	c=1 d=0.264477 t=1360
evep 	腿	c=1 d=1 t=895
